Year,TFR_female,State,TFR_male,TFR_adj,HDI,HLI_male,HLI_female,LE_male,LE_female,lag_HDI,lag_HLI_female,lag_HLI_male,lag_LE_female,lag_LE_male,lag_HDI2,lag_HLI_female2,lag_HLI_male2,lag_LE_female2,lag_LE_male2
1969,2.5210161316082687,Alabama,2.95718155450034,2.5769823030354497,NA,52.144204012238625,61.906528665517726,64.57,73.07,NA,61.91650842278853,51.981150226191964,73.08,64.42,NA,3833.6540152692432,2702.039978837937,5340.6864,4149.9364000000005
1970,2.5105754489602337,Alabama,2.9279866019483842,2.5614918142377583,NA,53.1604423631085,62.54892162706528,65.03,73.44,NA,61.906528665517726,52.144204012238625,73.07,64.57,NA,3832.418291414568,2719.018012069963,5339.224899999999,4169.284899999999
1971,2.4351309765947544,Alabama,2.823528060621517,2.5300243951493675,NA,53.72343805351477,63.3434118039761,65.16,73.96,NA,62.54892162706528,53.1604423631085,73.44,65.03,NA,3912.367596708755,2826.032632241381,5393.433599999999,4228.900900000001
1972,2.174681128995147,Alabama,2.509470719094531,2.2662964714730984,NA,54.02158919894711,64.0039577469167,65.29,74.03,NA,63.3434118039761,53.72343805351477,73.96,65.16,NA,4012.387818968099,2886.207796289839,5470.0815999999995,4245.825599999999
1973,2.0277937859735378,Alabama,2.3297844073522183,2.1382153080706825,NA,54.08517993556065,64.16126474745991,65.25,74.17,NA,64.0039577469167,54.02158919894711,74.03,65.29,NA,4096.506607269098,2918.3320995797994,5480.4409000000005,4262.784100000001
1974,1.9527207747942719,Alabama,2.2370546127756885,2.1234283515342764,NA,55.249744415042386,64.55085408722232,65.97,74.54,NA,64.16126474745991,54.08517993556065,74.17,65.25,NA,4116.667893993642,2925.2066886619727,5501.1889,4257.5625
1975,1.8473718974305908,Alabama,2.1108413412175504,2.08019429141248,NA,56.23193352431635,66.17294472821581,66.63,75.56,NA,64.55085408722232,55.249744415042386,74.54,65.97,NA,4166.812763389867,3052.5342579275075,5556.2116000000005,4352.0409
1976,1.8024717542100173,Alabama,2.0510811448033084,2.0412851738993822,NA,56.216966850498565,66.4117150671212,66.87,75.65,NA,66.17294472821581,56.23193352431635,75.56,66.63,NA,4378.858614003505,3162.0303478831324,5709.3136,4439.5569
1977,1.8859987057985887,Alabama,2.1291644609722495,2.0869978074175846,NA,56.812104935809415,67.3752125026278,66.95,75.93,NA,66.4117150671212,56.216966850498565,75.65,66.87,NA,4410.515898156492,3160.3473618700546,5722.922500000001,4471.5969000000005
1978,1.8018886590203849,Alabama,2.025926956200603,1.9610737259325552,NA,58.05135500011358,68.07739321492858,67.47,76.45,NA,67.3752125026278,56.812104935809415,75.93,66.95,NA,4539.419259774254,3227.6152672374205,5765.364900000001,4482.302500000001
1979,1.8497287631372115,Alabama,2.059239687204344,2.040048137515379,NA,59.07542240409701,68.92469427283199,67.98,76.81,NA,68.07739321492858,58.05135500011358,76.45,67.47,NA,4634.531466940003,3369.9598173492122,5844.602500000001,4552.2009
1980,1.8593324922867565,Alabama,2.0510817288010577,2.0882313165470547,NA,59.17048682293679,68.38781489795625,68.09,76.57,NA,68.92469427283199,59.07542240409701,76.81,67.98,NA,4750.613480603358,3489.905532222487,5899.7761,4621.280400000001
1981,1.796985574510661,Alabama,1.9709545274757814,2.0039780266851253,NA,60.88149449180522,69.71363681238516,68.68,77.03,NA,68.38781489795625,59.17048682293679,76.57,68.09,NA,4676.893226517126,3501.146510863336,5862.964899999999,4636.248100000001
1982,1.7636386476912052,Alabama,1.9196270396432569,1.9289125062444632,NA,60.63561586066488,70.36106455296179,69.07,77.52,NA,69.71363681238516,60.88149449180522,77.03,68.68,NA,4859.991157609144,3706.5563715557096,5933.6209,4716.942400000001
1983,1.733522701385871,Alabama,1.8646490470430745,1.8622812456412037,NA,61.42235405218603,69.94581308070148,69.42,77.25,NA,70.36106455296179,60.63561586066488,77.52,69.07,NA,4950.679405026057,3676.677910802114,6009.350399999999,4770.664899999999
1984,1.7413973998138332,Alabama,1.8617384918265603,1.870977912683611,NA,61.28208191795827,69.94925975719097,69.35,77.16,NA,69.94581308070148,61.42235405218603,77.25,69.42,NA,4892.416767520431,3772.7055773120937,5967.5625,4819.1364
1985,1.7636208235725495,Alabama,1.8746347300733424,1.895846501663972,NA,61.348970967730274,70.18645069634658,69.37,77.17,NA,69.94925975719097,61.28208191795827,77.16,69.35,NA,4892.898940578976,3755.4935641993484,5953.665599999999,4809.422499999999
1986,1.768045420841573,Alabama,1.8689509368995183,1.8855967449415707,NA,60.89946314450422,69.89059412813255,69.23,77.26,NA,70.18645069634658,61.348970967730274,77.17,69.37,NA,4926.1378613506895,3763.696238799412,5955.2089000000005,4812.196900000001
1987,1.7905629660986067,Alabama,1.8814365598727818,1.8661412877667365,NA,61.5023421335779,70.68248931710251,69.58,77.53,NA,69.89059412813255,60.89946314450422,77.26,69.23,NA,4884.695147583356,3708.7446112888274,5969.107600000001,4792.7929
1988,1.8535980836568144,Alabama,1.940674077024787,1.8749970745819218,NA,61.73068406326147,69.89314894608442,69.43,77.16,NA,70.68248931710251,61.5023421335779,77.53,69.58,NA,4996.01429606231,3782.538087915671,6010.900900000001,4841.3764
1989,1.9329297710830031,Alabama,2.013385774171626,1.9120213776236,NA,60.74892242756337,70.50038519047223,69.47,77.5,NA,69.89314894608442,61.73068406326147,77.16,69.43,NA,4885.052269599542,3810.677354918204,5953.665599999999,4820.524900000001
1990,1.9683635058509847,Alabama,2.043528462252723,1.9575100066145843,0.834,62.00780817444596,70.81863251174322,69.67,77.54,NA,70.50038519047223,60.74892242756337,77.5,69.47,NA,4970.304312004956,3690.431576110112,6006.25,4826.0809
1991,1.9478302534944634,Alabama,2.012128628000512,2.0195776406202235,0.835,61.94128413209971,70.6961198284433,69.62,77.57,0.834,70.81863251174322,62.00780817444596,77.54,69.67,0.695556,5015.278710833333,3844.9682745988875,6012.451600000001,4853.9089
1992,1.929756243149709,Alabama,1.9851556199387779,2.0891569372899914,0.839,62.52408496034329,71.98027448465099,70.2,78.09,0.835,70.6961198284433,61.94128413209971,77.57,69.62,0.697225,4997.941358797614,3836.722679933507,6017.104899999999,4846.9444
1993,1.9140767878270655,Alabama,1.9646589808407098,2.1363744286215196,0.843,62.83244353365593,70.7280309190364,70.29,77.2,0.839,71.98027448465099,62.52408496034329,78.09,70.2,0.7039209999999999,5181.1599148856985,3909.261200128226,6098.048100000001,4928.04
1994,1.8996730086719495,Alabama,1.9485731924947913,2.1015334436018898,0.846,62.8709131563302,71.24164365870762,70.2,77.57,0.843,70.7280309190364,62.83244353365593,77.2,70.29,0.710649,5002.454357684169,3947.9159604100614,5959.84,4940.684100000001
1995,1.8900410836877186,Alabama,1.9377929624901675,2.0595279337352728,0.847,62.65045362004489,71.62550237769133,70.08,77.7,0.846,71.24164365870762,62.8709131563302,77.57,70.2,0.7157159999999999,5075.371791194275,3952.7517211108134,6017.104899999999,4928.04
1996,1.9016133520441396,Alabama,1.9510712902593002,2.02761094710412,0.85,62.71392019421557,71.18987356047073,70.34,77.56,0.847,71.62550237769133,62.65045362004489,77.7,70.08,0.717409,5130.212590856667,3925.0793387973963,6037.290000000001,4911.2064
1997,1.9198620239303201,Alabama,1.9705778720914449,2.0084255081940317,0.852,63.535508258241755,71.84891619241414,70.71,77.76,0.85,71.18987356047073,62.71392019421557,77.56,70.34,0.7224999999999999,5067.998097555809,3933.0357861264392,6015.5536,4947.7156
1998,1.964851116446588,Alabama,2.012837931542439,2.047412240090659,0.855,63.77113640068236,70.89531473539091,70.93,77.53,0.852,71.84891619241414,63.535508258241755,77.76,70.71,0.725904,5162.266758024551,4036.7608096331064,6046.6176000000005,4999.904099999999
1999,1.981365173766194,Alabama,2.026610354583485,2.1063324268285166,0.851,63.68119133420498,71.34611174791088,71,77.4,0.855,70.89531473539091,63.77113640068236,77.53,70.93,0.7310249999999999,5026.145651430135,4066.7578378344347,6010.900900000001,5031.064900000001
2000,2.0317299780168985,Alabama,2.0786826835197854,2.23919916212222,0.853,63.95683246832708,71.93336311148512,71.07,77.67,0.851,71.34611174791088,63.68119133420498,77.4,71,0.724201,5090.2676615453875,4055.2941297436237,5990.760000000001,5041
2001,1.95152798368706,Alabama,1.9972733759219843,2.229931057504863,0.854,64.41123112015974,71.90092491919597,71.41,77.49,0.853,71.93336311148512,63.95683246832708,77.67,71.07,0.727609,5174.408728528769,4090.476419381657,6032.628900000001,5050.944899999999
2002,1.9100458627423798,Alabama,1.9542238685747284,2.186495596339665,0.855,64.83610837485341,71.62848337281206,71.46,77.44,0.854,71.90092491919597,64.41123112015974,77.49,71.41,0.729316,5169.7430042358565,4148.806694414635,6004.700099999999,5099.388099999999
2003,1.929030612228414,Alabama,1.9772086761976477,2.1039433217481185,0.857,64.7121323658408,71.96817415424992,71.38,77.5,0.855,71.62848337281206,64.83610837485341,77.44,71.46,0.7310249999999999,5130.6396302892135,4203.7209491957365,5996.9536,5106.531599999999
2004,1.9209690956325753,Alabama,1.973140935272714,2.0944975172711247,0.861,64.5309009078768,72.38800785496542,71.59,77.58,0.857,71.96817415424992,64.7121323658408,77.5,71.38,0.734449,5179.418091096447,4187.660075334101,6006.25,5095.104399999999
2005,1.9345,Alabama,NA,NA,0.863,64.91142979018112,71.4390538297024,71.65,77.4,0.861,72.38800785496542,64.5309009078768,77.58,71.59,0.741321,5240.023681210536,4164.237171982215,6018.6564,5125.128100000001
2006,2.034,Alabama,NA,NA,0.866,64.22321606886636,72.03441541914032,71.48,77.66,0.863,71.4390538297024,64.91142979018112,77.4,71.65,0.744769,5103.538412083118,4213.493717405612,5990.760000000001,5133.722500000001
2007,2.0745,Alabama,NA,NA,0.867,64.60961783797745,71.73643288164996,71.85,77.9,0.866,72.03441541914032,64.22321606886636,77.66,71.48,0.749956,5188.95700477728,4124.621482228295,6031.075599999999,5109.3904
2008,2.0605,Alabama,NA,NA,0.867,64.84448032168011,72.07073344297878,72.04,77.84,0.867,71.73643288164996,64.60961783797745,77.9,71.85,0.7516889999999999,5146.115802583469,4174.402717169494,6068.410000000001,5162.422499999999
2009,1.9585,Alabama,NA,NA,0.868,66.17794235237943,72.35690494198599,72.48,78.03,0.867,72.07073344297878,64.84448032168011,77.84,72.04,0.7516889999999999,5194.190619008899,4204.806628188759,6059.065600000001,5189.761600000001
2010,1.8715,Alabama,NA,NA,0.871,66.13734279328692,72.43831685777435,72.58,78.04,0.868,72.35690494198599,66.17794235237943,78.03,72.48,0.753424,5235.521692783596,4379.5200539948555,6088.6809,5253.3504
2011,1.8365,Alabama,NA,NA,0.873,65.87514525584534,72.98487164732344,72.51,78.24,0.871,72.43831685777435,66.13734279328692,78.04,72.58,0.758641,5247.309749187316,4374.148111756741,6090.241600000001,5267.8564
2012,1.8065,Alabama,NA,NA,0.876,66.2414089166145,72.16684641778771,72.72,78.08,0.873,72.98487164732344,65.87514525584534,78.24,72.51,0.762129,5326.791489376277,4339.534762478723,6121.497599999999,5257.700100000001
2013,1.7935,Alabama,NA,NA,0.878,65.91646590983412,72.70600173571327,72.47,78.28,0.876,72.16684641778771,66.2414089166145,78.08,72.72,0.767376,5208.053721888558,4387.924255258135,6096.4864,5288.1984
2014,1.8255,Alabama,NA,NA,0.879,66.16326661218821,72.53906604376195,72.85,78.18,0.878,72.70600173571327,65.91646590983412,78.28,72.47,0.770884,5286.162688393541,4344.980478042323,6127.758400000001,5251.9009
2015,1.8335,Alabama,NA,NA,0.88,66.05399409165943,72.55309463233462,72.54,78.15,0.879,72.53906604376195,66.16326661218821,78.18,72.85,0.772641,5261.916102501258,4377.577848795499,6112.112400000001,5307.1224999999995
2016,1.826,Alabama,NA,NA,0.882,65.40368997470138,72.2109279075056,72.3,78.05,0.88,72.55309463233462,66.05399409165943,78.15,72.54,0.7744,5263.951540728503,4363.1301354609795,6107.422500000001,5262.051600000001
2017,1.8215,Alabama,NA,NA,0.884,66.28700968787233,72.99790859440216,72.46,78.34,0.882,72.2109279075056,65.40368997470138,78.05,72.3,0.7779240000000001,5214.418109262972,4277.642662306854,6091.8025,5227.29
2018,1.7865,Alabama,NA,NA,0.886,66.19596537277867,73.49804388850951,72.44,78.35,0.884,72.99790859440216,66.28700968787233,78.34,72.46,0.781456,5328.694659156693,4393.96765336008,6137.155600000001,5250.451599999999
1969,2.9132562150726233,Alaska,2.377544501829954,3.0251355495873353,NA,55.32514127559637,66.8304034505408,66.57,75.66,NA,62.64090292927982,55.292205570479325,74.08,66.2,NA,3923.882719795457,3057.227996848145,5487.846399999999,4382.4400000000005
1970,2.946838066583777,Alaska,2.454649587551479,3.0568209130180777,NA,53.95794508152757,63.60025580902794,65.71,74.63,NA,66.8304034505408,55.32514127559637,75.66,66.57,NA,4466.302825362056,3060.8712571646975,5724.4356,4431.564899999999
1971,2.667290595816548,Alaska,2.264010567405038,2.913735089150933,NA,54.972022690635406,65.31613469055546,66.29,73.99,NA,63.60025580902794,53.95794508152757,74.63,65.71,NA,4044.9925389737923,2911.459837421145,5569.6368999999995,4317.804099999999
