"","Year","TFR_female","State","TFR_male","TFR_adj","HDI","HLI_male","HLI_female","LE_male","LE_female","lag_HDI","lag_HLI_female","lag_HLI_male","lag_LE_female","lag_LE_male","lag_HDI2","lag_HLI_female2","lag_HLI_male2","lag_LE_female2","lag_LE_male2","Division"
"1",1969,2.44401852764064,"Illinois",2.77976684228652,2.49727738762844,NA,55.0696722822112,63.5392340175632,66.21,73.58,NA,63.5027463067669,54.4243858810083,73.44,65.75,NA,4032.5987885016,2962.0137785249,5393.4336,4323.0625,"Midwest"
"2",1970,2.48829870152798,"Illinois",2.81649865199227,2.5417765355785,NA,55.2690418954549,64.1157254118956,66.35,73.94,NA,63.5392340175632,55.0696722822112,73.58,66.21,NA,4037.23425953866,3032.66880527014,5414.0164,4383.7641,"Midwest"
"3",1971,2.30755760644207,"Illinois",2.59372271167289,2.44431781743562,NA,56.2832879568233,64.7825397299617,66.79,74.23,NA,64.1157254118956,55.2690418954549,73.94,66.35,NA,4110.8262450936,3054.66699204155,5467.1236,4402.3225,"Midwest"
"4",1972,2.05042920679248,"Illinois",2.29496330805403,2.26656592272239,NA,56.8668135175537,65.1987216273647,67.08,74.27,NA,64.7825397299617,56.2832879568233,74.23,66.79,NA,4196.77745386406,3167.80850323069,5510.0929,4460.9041,"Midwest"
"5",1973,1.90496622207237,"Illinois",2.12549711311701,2.13556278458204,NA,56.4236485866963,65.4757019834444,66.87,74.55,NA,65.1987216273647,56.8668135175537,74.27,67.08,NA,4250.87330184259,3233.83447964023,5516.0329,4499.7264,"Midwest"
"6",1974,1.85828006919251,"Illinois",2.0691324023801,2.08497200179363,NA,57.1184958969172,65.8993967462044,67.32,75.07,NA,65.4757019834444,56.4236485866963,74.55,66.87,NA,4287.06755022483,3183.62811983499,5557.7025,4471.5969,"Midwest"
"7",1975,1.81656608462467,"Illinois",2.01497171049325,2.02729326900998,NA,57.8673163041667,66.8106483897801,67.9,75.8,NA,65.8993967462044,57.1184958969172,75.07,67.32,NA,4342.73049151366,3262.52257352615,5635.5049,4531.9824,"Midwest"
"8",1976,1.79028187468094,"Illinois",1.97885605178546,1.99583849062135,NA,58.8125052931719,67.928299092872,68.32,76.18,NA,66.8106483897801,57.8673163041667,75.8,67.9,NA,4463.66273826282,3348.62629624647,5745.64,4610.41,"Midwest"
"9",1977,1.83018776991304,"Illinois",2.01436517181034,2.00169478806619,NA,59.341058143659,68.107772829535,68.67,76.29,NA,67.928299092872,58.8125052931719,76.18,68.32,NA,4614.25381765068,3458.91077885937,5803.3924,4667.6224,"Midwest"
"10",1978,1.77814096591195,"Illinois",1.94741384166653,1.88258193814397,NA,59.8750894622478,68.4303394248018,68.94,76.54,NA,68.107772829535,59.341058143659,76.29,68.67,NA,4638.66871979955,3521.36118160912,5820.1641,4715.5689,"Midwest"
"11",1979,1.85865767623688,"Illinois",2.02320017829278,1.97869798297748,NA,59.9774945156937,69.1027501999012,69.14,76.93,NA,68.4303394248018,59.8750894622478,76.54,68.94,NA,4682.71135379359,3585.02633811218,5858.3716,4752.7236,"Midwest"
"12",1980,1.9061572880527,"Illinois",2.05588189407096,2.0919544965412,NA,60.5792214970374,69.2333529810591,69.48,76.99,NA,69.1027501999012,59.9774945156937,76.93,69.14,NA,4775.19008518995,3597.29984838007,5918.2249,4780.3396,"Midwest"
"13",1981,1.85785727568548,"Illinois",1.98793610358431,2.09164182467968,NA,61.6608659995504,69.8736788482219,69.89,77.23,NA,69.2333529810591,60.5792214970374,76.99,69.48,NA,4793.25716499993,3669.84207718712,5927.4601,4827.4704,"Midwest"
"14",1982,1.85149358926268,"Illinois",1.96567864385573,2.06895718215681,NA,62.0226365473832,70.4950048011435,70.29,77.57,NA,69.8736788482219,61.6608659995504,77.23,69.89,NA,4882.33099578446,3802.06239581451,5964.4729,4884.6121,"Midwest"
"15",1983,1.81440756370103,"Illinois",1.90668410476783,2.00222155253214,NA,62.7169420070275,70.7810053522001,70.45,77.54,NA,70.4950048011435,62.0226365473832,77.57,70.29,NA,4969.54570191325,3846.80744428879,6017.1049,4940.6841,"Midwest"
